GEO_ID|B01003_E001|B01003_M001
1400000US25021404302|3551|456
1400000US25021404400|6538|479
1400000US25021405100|5893|30
1400000US25021406101|6169|505
1400000US25021406102|6754|502
1400000US25021407101|4575|422
1400000US25021407102|4124|422
1400000US25021408102|5022|447
1400000US25021408103|3419|551
1400000US25021408104|4810|418
1400000US25021409101|6089|595
1400000US25021409102|5467|597
1400000US25021410100|6755|711
1400000US25021410300|4991|693
1400000US25021410400|6770|703
1400000US25021411101|4306|786
1400000US25021411102|4479|584
1400000US25021411200|7759|742
1400000US25021411301|6021|534
1400000US25021411302|3729|390
1400000US25021412100|6999|806
1400000US25021412200|3659|542
1400000US25021412300|5555|611
1400000US25021413100|6230|574
1400000US25021413201|4386|485
1400000US25021413202|2425|626
1400000US25021413300|5219|528
1400000US25021413401|3385|454
1400000US25021413402|5014|574
